total_debt_value,avg_parcel_value,max_debt_value,total_fines_only,total_ressarcimento_only,has_daily_fine,total_paid_amount,percent_paid_amount,n_installments,n_broken_installments,n_reopened_installments,perc_broken_installments,perc_failed_installments,is_civil_servant,n_processos,n_transitado_em_julgado,n_protests,n_failed_protests,perc_failed_protests,n_pge_handovers
291890.1314,10766.80625,110231.03,176794.72140000004,115095.41,0,1834.48,0.006284830498383886,0,0,0,0.0,0.0,0,4,24,1,0,0.0,2
245620.04679999998,7853.2177,12148.0,245620.04679999998,0.0,0,810.0,0.00329777642563335,0,0,0,0.0,0.0,0,6,30,4,0,0.0,2
561149.5898,606.1111111111111,544880.0,16269.5898,544880.0,0,12167.17,0.021682578444611387,0,0,0,0.0,0.0,0,10,23,2,0,0.0,0
5700.0,,4200.0,1500.0,4200.0,0,1681.4,0.2949824561403509,0,0,0,0.0,0.0,0,3,2,0,0,0.0,0
134408.0,30676.0,55600.0,134408.0,0.0,0,507.1,0.0037728409023272424,0,0,0,0.0,0.0,0,4,4,1,0,0.0,0
311357.39999999997,4534.4128,141804.96,169552.43999999997,141804.96,0,69952.1,0.22466817875534678,2,21,0,10.5,10.5,0,2,27,0,0,0.0,0
256140.9652,9762.0,9762.0,253890.9652,2250.0,0,5326.75,0.020796165876242275,0,0,0,0.0,0.0,0,3,37,1,0,0.0,0
56558.75,862.9523333333333,2200.0,56558.75,0.0,0,21184.91,0.37456467832121465,2,19,19,9.5,19.0,1,4,33,1,0,0.0,0
476451.30999999994,17500.0,323590.6,137304.15,339147.16,0,0.0,0.0,0,0,0,0.0,0.0,0,4,9,0,0,0.0,0
15509.4172,,3600.0,10409.4172,5100.0,0,2449.91,0.1579627376327203,0,0,0,0.0,0.0,0,3,12,0,0,0.0,0
8263.02,,5255.97,182.46,8080.56,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,0,0,0.0,0
92305.0,12200.0,39550.0,52755.0,39550.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,6,1,0,0.0,0
930410.487,1471.3143543046358,16679.99,927580.6449999999,2829.842,0,721276.585,0.7752240490384756,4,82,60,20.5,35.5,0,4,159,4,0,0.0,1
1500.0,1500.0,1500.0,1500.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
806224.645,25425.11111111111,442003.91,346771.685,459452.95999999996,0,0.0,0.0,0,0,0,0.0,0.0,0,10,17,1,0,0.0,0
24600.0,8200.0,8200.0,24600.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,3,1,0,0.0,0
4548.0822,249.8245272727273,600.0,4548.0822,0.0,0,4763.34,1.0473293556567647,1,0,0,0.0,0.0,0,3,4,0,0,0.0,0
4000.0,1000.0,1000.0,4000.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,4,1,0,0.0,0
16105.0,282.0,10040.0,12055.0,4050.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,9,2,0,0.0,0
200850.2315,,6449.84,200850.2315,0.0,0,11297.16,0.056246686476933434,0,0,0,0.0,0.0,0,1,61,0,0,0.0,0
1216435.0620000002,926.1716666666666,323836.99,76274.272,1140160.79,0,0.0,0.0,0,0,0,0.0,0.0,0,18,42,1,0,0.0,0
187904.54,,80100.0,99044.57,88859.97,0,0.0,0.0,0,0,0,0.0,0.0,0,10,17,2,0,0.0,0
